縣市,鄉鎮市區,鄉鎮市區人口密度(人/平方公里),年底人口數,土地面積
屏東縣,琉球鄉,1775.412391,12076,6.8018
屏東縣,車城鄉,154.3377658,7694,49.8517
屏東縣,滿州鄉,48.71263484,6927,142.2013
屏東縣,枋山鄉,284.0234631,4905,17.2697
屏東縣,三地門鄉,38.68704381,7598,196.3965
屏東縣,霧臺鄉,11.35597354,3166,278.796
屏東縣,瑪家鄉,84.45911604,6647,78.7008
屏東縣,泰武鄉,43.75072707,5190,118.6266
屏東縣,來義鄉,43.40321239,7282,167.7756
屏東縣,春日鄉,30.35606027,4857,160.001
屏東縣,獅子鄉,16.02980447,4825,301.0018
屏東縣,牡丹鄉,25.68789782,4671,181.8366
臺東縣,臺東市,935.4271831,102681,109.7691
臺東縣,成功鎮,88.5731965,12754,143.9939
臺東縣,關山鎮,132.0675371,7757,58.7351
臺東縣,卑南鄉,39.41000337,16264,412.6871
臺東縣,大武鄉,77.04055512,5327,69.1454
臺東縣,太麻里鄉,107.3435397,10375,96.6523
臺東縣,東河鄉,36.68095844,7710,210.1908
臺東縣,長濱鄉,41.68524643,6469,155.1868
臺東縣,鹿野鄉,77.19235657,6924,89.698
臺東縣,池上鄉,91.05597844,7529,82.6854
臺東縣,綠島鄉,286.7100895,4327,15.0919
臺東縣,延平鄉,7.780547753,3547,455.8805
臺東縣,海端鄉,4.905468876,4317,880.0382
臺東縣,達仁鄉,11.21570107,3437,306.4454
臺東縣,金峰鄉,9.672584842,3682,380.6635
臺東縣,蘭嶼鄉,107.875311,5220,48.3892
花蓮縣,花蓮市,3293.493599,96860,29.4095
花蓮縣,鳳林鎮,84.10354959,10136,120.5181
花蓮縣,玉里鎮,84.3081183,21277,252.3719
花蓮縣,新城鄉,696.7816522,20492,29.4095
花蓮縣,吉安鄉,1271.93211,83004,65.2582
花蓮縣,壽豐鄉,76.11991679,16628,218.4448
花蓮縣,光復鄉,73.05709376,11478,157.11
花蓮縣,豐濱鄉,25.1303305,4082,162.4332
花蓮縣,瑞穗鄉,76.61546677,10388,135.5862
花蓮縣,富里鄉,53.21751653,9386,176.3705
花蓮縣,秀林鄉,10.46255289,17178,1641.8555
花蓮縣,萬榮鄉,9.777021816,6047,618.491
花蓮縣,卓溪鄉,5.728899955,5851,1021.313
澎湖縣,馬公市,1861.684289,63282,33.9918
澎湖縣,湖西鄉,484.4027771,16131,33.3008
澎湖縣,白沙鄉,502.0037337,10084,20.0875
澎湖縣,西嶼鄉,429.553081,8039,18.7148
澎湖縣,望安鄉,382.0814952,5266,13.7824
澎湖縣,七美鄉,560.1992328,3914,6.9868
基隆市,中正區,5047.298224,51542,10.2118
基隆市,七堵區,927.1868041,52169,56.2659
基隆市,暖暖區,1684.838556,38462,22.8283
基隆市,仁愛區,9374.985237,39689,4.2335
基隆市,中山區,4328.854596,45556,10.5238
基隆市,安樂區,4429.958391,79850,18.025
基隆市,信義區,4926.433378,52568,10.6706
新竹市,東區,6618.230445,222219,33.5768
新竹市,北區,9786.85929,153915,15.7267
新竹市,香山區,1451.363833,79606,54.8491
嘉義市,東區,3865.517516,116567,30.1556
嘉義市,西區,4855.205892,145025,29.87
金門縣,金城鎮,1888.177589,40998,21.713
金門縣,金湖鎮,732.5642748,30545,41.696
金門縣,金沙鎮,481.6703083,19840,41.19
金門縣,金寧鄉,1181.985664,35287,29.854
金門縣,烈嶼鄉,752.9838155,12050,16.003
金門縣,烏坵鄉,494.1666667,593,1.2
連江縣,南竿鄉,733.5576923,7629,10.4
連江縣,北竿鄉,295.959596,2930,9.9
連江縣,莒光鄉,327.0212766,1537,4.7
連江縣,東引鄉,401.3157895,1525,3.8
